"Taxon","Institution","Museum No.","Island","Taxon-Island","New_Taxonomy","New_Taxonomy_Island","Sex","Wing","Tail","Blength","Bdepth","Bwidth","Tarsus"
"G. fuliginosa","CAS",5933,"Marchena","fuliginosaMarchena","G. fuliginosa","fuliginosaMarchena","Male",59.2,36.8,11,7.2,5.8,18
"G. fuliginosa","Stanford University",5128,"Marchena","fuliginosaMarchena","G. fuliginosa","fuliginosaMarchena","Male",55.2,36.2,11,6.5,5.8,18
"G. fuliginosa","Stanford University",5165,"Marchena","fuliginosaMarchena","G. fuliginosa","fuliginosaMarchena","Male",57.8,37,11,7,6,18
"G. fuliginosa","Stanford University",5117,"Marchena","fuliginosaMarchena","G. fuliginosa","fuliginosaMarchena","Male",56,37,11.2,6.2,6,19
"G. fuliginosa","Stanford University",4119,"Fernandina","fuliginosaFernandina","G. fuliginosa","fuliginosaFernandina","Male",62.5,37.5,11,7.5,6.2,18.2
"G. fuliginosa","Stanford University",4164,"Fernandina","fuliginosaFernandina","G. fuliginosa","fuliginosaFernandina","Male",63,38,11,7.5,6.2,20.5
"G. fuliginosa","Stanford University",4151,"Fernandina","fuliginosaFernandina","G. fuliginosa","fuliginosaFernandina","Male",62,37.8,11.2,7.5,6,18.5
"G. fuliginosa","Stanford University",4159,"Fernandina","fuliginosaFernandina","G. fuliginosa","fuliginosaFernandina","Male",63,38.2,10.5,7.8,6.5,20
"G. fuliginosa","Stanford University",4426,"Fernandina","fuliginosaFernandina","G. fuliginosa","fuliginosaFernandina","Male",62.2,38,11.5,7.5,6.2,20
"G. fuliginosa","Stanford University",4009,"Fernandina","fuliginosaFernandina","G. fuliginosa","fuliginosaFernandina","Male",61.5,38,10,7.5,6.5,18.5
"G. fuliginosa","Stanford University",4465,"Fernandina","fuliginosaFernandina","G. fuliginosa","fuliginosaFernandina","Male",62,38,11.2,7.2,6.2,18.2
"G. fuliginosa","Stanford University",4413,"Fernandina","fuliginosaFernandina","G. fuliginosa","fuliginosaFernandina","Male",62,40,11.2,7.2,6.2,20
"G. fuliginosa","Stanford University",4460,"Fernandina","fuliginosaFernandina","G. fuliginosa","fuliginosaFernandina","Male",62.2,37,11.2,8,7,20
"G. fuliginosa","Stanford University",4045,"Fernandina","fuliginosaFernandina","G. fuliginosa","fuliginosaFernandina","Male",65,36,11,8,6.5,20
"G. fuliginosa","CAS",5684,"Isabela","fuliginosaIsabela","G. fuliginosa","fuliginosaIsabela","Male",63.2,38.5,12.5,8.2,7,19
"G. fuliginosa","CAS",5629,"Isabela","fuliginosaIsabela","G. fuliginosa","fuliginosaIsabela","Male",65.2,40.8,11.2,8,6.8,19.8
"G. fuliginosa","CAS",5687,"Isabela","fuliginosaIsabela","G. fuliginosa","fuliginosaIsabela","Male",66.5,41,11.5,8,7,20
"G. fuliginosa","CAS",5647,"Isabela","fuliginosaIsabela","G. fuliginosa","fuliginosaIsabela","Male",63.2,41,11,7.8,6.2,19.2
"G. fuliginosa","CAS",5694,"Isabela","fuliginosaIsabela","G. fuliginosa","fuliginosaIsabela","Male",63.8,39.8,12.5,9,6.5,20
"G. fuliginosa","CAS",5427,"Isabela","fuliginosaIsabela","G. fuliginosa","fuliginosaIsabela","Male",62,42.5,12,8.5,7,20.5
"G. fuliginosa","CAS",5691,"Isabela","fuliginosaIsabela","G. fuliginosa","fuliginosaIsabela","Male",64,43,13,8.2,7,20
"G. fuliginosa","CAS",5674,"Isabela","fuliginosaIsabela","G. fuliginosa","fuliginosaIsabela","Male",65,41.5,11.5,8.2,6.5,20
"G. fuliginosa","CAS",5650,"Isabela","fuliginosaIsabela","G. fuliginosa","fuliginosaIsabela","Male",64,40.2,11.2,7.2,6.5,20
"G. fuliginosa","CAS",5615,"Isabela","fuliginosaIsabela","G. fuliginosa","fuliginosaIsabela","Male",65.5,41,11.5,8.8,7,19.5
"G. fuliginosa","CAS",5677,"Santiago","fuliginosaSantiago","G. fuliginosa","fuliginosaSantiago","Male",63,35.2,11.5,8,6.5,18.5
"G. fuliginosa","CAS",6820,"Santiago","fuliginosaSantiago","G. fuliginosa","fuliginosaSantiago","Male",64.2,39,12,8,6.5,20
"G. fuliginosa","CAS",5764,"Santiago","fuliginosaSantiago","G. fuliginosa","fuliginosaSantiago","Male",58,33.5,11,8,7,18.5
"G. fuliginosa","CAS",5707,"Santiago","fuliginosaSantiago","G. fuliginosa","fuliginosaSantiago","Male",61.5,37.2,11.5,7.5,6.5,19.2
"G. fuliginosa","CAS",5724,"Santiago","fuliginosaSantiago","G. fuliginosa","fuliginosaSantiago","Male",62,42,10.2,7.5,6.2,18.8
"G. fuliginosa","Stanford University",4534,"Santiago","fuliginosaSantiago","G. fuliginosa","fuliginosaSantiago","Male",62.2,39.2,12,8,6.2,20
"G. fuliginosa","CAS",5815,"Santiago","fuliginosaSantiago","G. fuliginosa","fuliginosaSantiago","Male",61.5,37,11,8,6.5,20
"G. fuliginosa","CAS",5772,"Rabida","fuliginosaRabida","G. fuliginosa","fuliginosaRabida","Male",62.2,36,12,9,7,20
"G. fuliginosa","CAS",5701,"Rabida","fuliginosaRabida","G. fuliginosa","fuliginosaRabida","Male",61,36.2,11,7.2,6.2,19
"G. fuliginosa","CAS",5665,"Rabida","fuliginosaRabida","G. fuliginosa","fuliginosaRabida","Male",62.2,39.8,12,7.5,6.5,19.8
"G. fuliginosa","CAS",5787,"Rabida","fuliginosaRabida","G. fuliginosa","fuliginosaRabida","Male",61,39,12,7.5,6.2,19
"G. fuliginosa","CAS",6818,"Rabida","fuliginosaRabida","G. fuliginosa","fuliginosaRabida","Male",62,38,12,8,6.2,19.8
"G. fuliginosa","CAS",5668,"Pinzon","fuliginosaPinzon","G. fuliginosa","fuliginosaPinzon","Male",63.5,39,12.2,7.8,7,20.5
"G. fuliginosa","CAS",5688,"Pinzon","fuliginosaPinzon","G. fuliginosa","fuliginosaPinzon","Male",60.8,38,11,8,6.5,20.2
"G. fuliginosa","CAS",5700,"Pinzon","fuliginosaPinzon","G. fuliginosa","fuliginosaPinzon","Male",60,37,11.5,8,6.5,19
"G. fuliginosa","CAS",5715,"Pinzon","fuliginosaPinzon","G. fuliginosa","fuliginosaPinzon","Male",64.5,37,11,7.5,6.8,20
"G. fuliginosa","CAS",5663,"Pinzon","fuliginosaPinzon","G. fuliginosa","fuliginosaPinzon","Male",63.2,40,12,8.2,6.2,21
"G. fuliginosa","CAS",5655,"Pinzon","fuliginosaPinzon","G. fuliginosa","fuliginosaPinzon","Male",62.2,37,11,8,6.5,19.8
"G. fuliginosa","CAS",5654,"Pinzon","fuliginosaPinzon","G. fuliginosa","fuliginosaPinzon","Male",63.5,38.5,11.5,7.5,7,20
"G. fuliginosa","CAS",5430,"Pinzon","fuliginosaPinzon","G. fuliginosa","fuliginosaPinzon","Male",62,38.2,13,8.5,7,19
"G. fuliginosa","CAS",5631,"Pinzon","fuliginosaPinzon","G. fuliginosa","fuliginosaPinzon","Male",60,37,11,7.5,6.5,19.2
"G. fuliginosa","CAS",5429,"Pinzon","fuliginosaPinzon","G. fuliginosa","fuliginosaPinzon","Male",64,37.5,12.5,8,7,20
"G. fuliginosa","CAS",5620,"Santa Cruz","fuliginosaSanta Cruz","G. fuliginosa","fuliginosaSanta Cruz","Male",62.5,39.5,12,8.2,7,20.5
"G. fuliginosa","CAS",6368,"Santa Cruz","fuliginosaSanta Cruz","G. fuliginosa","fuliginosaSanta Cruz","Male",64.5,38,11,7.5,6.5,20.5
"G. fuliginosa","CAS",5666,"Santa Cruz","fuliginosaSanta Cruz","G. fuliginosa","fuliginosaSanta Cruz","Male",62,39.2,12,8,6.5,20
"G. fuliginosa","CAS",5649,"Santa Cruz","fuliginosaSanta Cruz","G. fuliginosa","fuliginosaSanta Cruz","Male",60.5,41.5,11,7.2,6,19
"G. fuliginosa","CAS",5656,"Santa Cruz","fuliginosaSanta Cruz","G. fuliginosa","fuliginosaSanta Cruz","Male",63.2,39.5,11,7.2,6,20
"G. fuliginosa","CAS",5673,"Santa Cruz","fuliginosaSanta Cruz","G. fuliginosa","fuliginosaSanta Cruz","Male",62.2,37.5,11,7.8,6.2,20
"G. fuliginosa","CAS",5709,"Santa Cruz","fuliginosaSanta Cruz","G. fuliginosa","fuliginosaSanta Cruz","Male",62.5,39.2,11.5,7.8,6.2,19
"G. fuliginosa","CAS",5669,"Santa Cruz","fuliginosaSanta Cruz","G. fuliginosa","fuliginosaSanta Cruz","Male",62.2,37.5,12,7.5,6,19.5
"G. fuliginosa","CAS",5679,"Santa Cruz","fuliginosaSanta Cruz","G. fuliginosa","fuliginosaSanta Cruz","Male",62,39.5,12,7.2,6.5,19
"G. fuliginosa","CAS",5699,"Santa Cruz","fuliginosaSanta Cruz","G. fuliginosa","fuliginosaSanta Cruz","Male",62,37.8,11.5,8,6.2,20.2
"G. fuliginosa","CAS",5614,"Santa Fe","fuliginosaSanta Fe","G. fuliginosa","fuliginosaSanta Fe","Male",61.2,37,12.5,7.5,6.2,19
"G. fuliginosa","CAS",6821,"Santa Fe","fuliginosaSanta Fe","G. fuliginosa","fuliginosaSanta Fe","Male",61.2,38,10.5,7,6,21
"G. fuliginosa","CAS",5618,"Santa Fe","fuliginosaSanta Fe","G. fuliginosa","fuliginosaSanta Fe","Male",64,39.2,13,8.2,6.8,18.5
"G. fuliginosa","CAS",5645,"Santa Fe","fuliginosaSanta Fe","G. fuliginosa","fuliginosaSanta Fe","Male",63,38.8,11.5,8,6.5,19.8
"G. fuliginosa","CAS",5633,"Santa Fe","fuliginosaSanta Fe","G. fuliginosa","fuliginosaSanta Fe","Male",61.5,39.2,12.2,8.2,7,20
"G. fuliginosa","CAS",5617,"Santa Fe","fuliginosaSanta Fe","G. fuliginosa","fuliginosaSanta Fe","Male",62.2,38,12,7.5,6.5,19.2
"G. fuliginosa","CAS",5622,"Santa Fe","fuliginosaSanta Fe","G. fuliginosa","fuliginosaSanta Fe","Male",60.5,38,12,8.2,6.5,19.5
"G. fuliginosa","CAS",5619,"Santa Fe","fuliginosaSanta Fe","G. fuliginosa","fuliginosaSanta Fe","Male",60.2,37,12,8,6.5,18.5
"G. fuliginosa","CAS",5611,"Santa Fe","fuliginosaSanta Fe","G. fuliginosa","fuliginosaSanta Fe","Male",64.5,39.8,12.2,8.2,6.5,19
"G. fuliginosa","CAS",5726,"Santa Fe","fuliginosaSanta Fe","G. fuliginosa","fuliginosaSanta Fe","Male",62,38,12,8.2,6.5,20
"G. fuliginosa","CAS",5874,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",65,40.5,13.2,8,6.5,19
"G. fuliginosa","CAS",5887,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",63.5,40,12.5,8.2,6.5,20.2
"G. fuliginosa","CAS",5894,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",63.2,39,12,7.5,6.5,20
"G. fuliginosa","CAS",5896,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",65,41,12.5,8.5,7,20
"G. fuliginosa","CAS",5870,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",63.2,38.5,11.5,8,7,20.2
"G. fuliginosa","CAS",5428,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",63.2,42,13,9,7.2,20.2
"G. fuliginosa","CAS",5866,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",64,41,12,8.2,6.5,20.2
"G. fuliginosa","CAS",5868,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",63,39,12,8.5,7,20
"G. fuliginosa","CAS",5882,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",62.5,36.5,11.5,7.5,6.5,19.5
"G. fuliginosa","CAS",5897,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",61,39,10.8,7,6.5,20.2
"G. fuliginosa","CAS",6854,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",61,37,10.5,7.2,6,19
"G. fuliginosa","CAS",5895,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",63,37,10,7,5.5,20
"G. fuliginosa","CAS",5869,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",60,38,11.2,7.2,6.2,19
"G. fuliginosa","CAS",5891,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",63.5,36.5,10.8,7.2,6,20
"G. fuliginosa","CAS",6852,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",61.5,36.8,10.5,7.2,5.8,18
"G. fuliginosa","CAS",5901,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",60.5,37,10.5,7.5,6,20.5
"G. fuliginosa","CAS",5908,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",60.2,37,10,7,6,20
"G. fuliginosa","CAS",5905,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",62.2,38,10.5,7,6,19
"G. fuliginosa","CAS",5915,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",62,36.5,10.2,7,5.5,19.2
"G. fuliginosa","CAS",5922,"San Cristobal","fuliginosaSan Cristobal","G. fuliginosa","fuliginosaSan Cristobal","Male",57,34,10.5,7,6,18
"G. fuliginosa","CAS",5689,"Floreana","fuliginosaFloreana","G. fuliginosa","fuliginosaFloreana","Male",65,42.2,10.8,8.5,7,20
"G. fuliginosa","CAS",5634,"Floreana","fuliginosaFloreana","G. fuliginosa","fuliginosaFloreana","Male",63.5,41,11.2,8,7,19.5
"G. fuliginosa","CAS",5754,"Floreana","fuliginosaFloreana","G. fuliginosa","fuliginosaFloreana","Male",60.5,38,10,7.5,6.2,19.5
"G. fuliginosa","CAS",5639,"Floreana","fuliginosaFloreana","G. fuliginosa","fuliginosaFloreana","Male",61.2,37.5,11,7.2,6,19
"G. fuliginosa","CAS",5640,"Floreana","fuliginosaFloreana","G. fuliginosa","fuliginosaFloreana","Male",61.5,39.2,12.2,8,6.5,20
"G. fuliginosa","CAS",5708,"Floreana","fuliginosaFloreana","G. fuliginosa","fuliginosaFloreana","Male",61,40,11.5,7.5,6.5,20
"G. fuliginosa","CAS",5779,"Floreana","fuliginosaFloreana","G. fuliginosa","fuliginosaFloreana","Male",60.5,41,12,7.8,6.5,20
"G. fuliginosa","CAS",5697,"Floreana","fuliginosaFloreana","G. fuliginosa","fuliginosaFloreana","Male",63,37.8,11,8,6.5,20
"G. fuliginosa","CAS",5661,"Floreana","fuliginosaFloreana","G. fuliginosa","fuliginosaFloreana","Male",61,38.5,10.5,7.2,6,20
"G. fuliginosa","CAS",5729,"Floreana","fuliginosaFloreana","G. fuliginosa","fuliginosaFloreana","Male",65,39,12.2,8,6.8,20
"G. fuliginosa","CAS",5690,"Espanola","fuliginosaEspanola","G. fuliginosa","fuliginosaEspanola","Male",64,41,11.5,7.5,6.5,20.2
"G. fuliginosa","CAS",5696,"Espanola","fuliginosaEspanola","G. fuliginosa","fuliginosaEspanola","Male",62.2,39,12,7.5,6.8,21
"G. fuliginosa","CAS",5704,"Espanola","fuliginosaEspanola","G. fuliginosa","fuliginosaEspanola","Male",64,39.5,12,7.5,7,19.8
"G. fuliginosa","CAS",5637,"Espanola","fuliginosaEspanola","G. fuliginosa","fuliginosaEspanola","Male",63.5,40,11.5,7.5,6.5,19.2
"G. fuliginosa","CAS",5659,"Espanola","fuliginosaEspanola","G. fuliginosa","fuliginosaEspanola","Male",63.2,39.5,12,7.2,6.5,18.5
"G. fuliginosa","CAS",5681,"Espanola","fuliginosaEspanola","G. fuliginosa","fuliginosaEspanola","Male",63,38.8,12,8,6.5,20
"G. fuliginosa","CAS",5712,"Espanola","fuliginosaEspanola","G. fuliginosa","fuliginosaEspanola","Male",65,41,12,8,6.5,20.5
"G. fuliginosa","CAS",5612,"Espanola","fuliginosaEspanola","G. fuliginosa","fuliginosaEspanola","Male",63.2,38.8,12.5,8.5,6.5,20
"G. fuliginosa","CAS",5613,"Espanola","fuliginosaEspanola","G. fuliginosa","fuliginosaEspanola","Male",63,40.5,12,8,6.5,20
"G. fuliginosa","CAS",5638,"Espanola","fuliginosaEspanola","G. fuliginosa","fuliginosaEspanola","Male",63.5,41,11.5,7.2,6.5,20
"G. difficilis","CAS",6981,"Darwin","difficilisDarwin","G. septentrionalis","septentrionalisDarwin","Male",71.5,49,15.5,9,7.8,22
"G. difficilis","CAS",6982,"Darwin","difficilisDarwin","G. septentrionalis","septentrionalisDarwin","Male",72,47,16,9,7.2,23.2
"G. difficilis","CAS",6983,"Darwin","difficilisDarwin","G. septentrionalis","septentrionalisDarwin","Male",71.2,47,14.5,8.2,6.8,23
"G. difficilis","CAS",6984,"Darwin","difficilisDarwin","G. septentrionalis","septentrionalisDarwin","Male",72,48,16.2,9.2,8,23
"G. difficilis","CAS",6985,"Darwin","difficilisDarwin","G. septentrionalis","septentrionalisDarwin","Male",72,48,16,8.8,7.2,23
"G. difficilis","CAS",6986,"Darwin","difficilisDarwin","G. septentrionalis","septentrionalisDarwin","Male",72,48,16.2,9,7.8,23.2
"G. difficilis","CAS",6992,"Darwin","difficilisDarwin","G. septentrionalis","septentrionalisDarwin","Male",73,49,15,9,7.5,23.5
"G. difficilis","Stanford University",5406,"Darwin","difficilisDarwin","G. septentrionalis","septentrionalisDarwin","Male",72,47,15,9,7.2,23
"G. difficilis","Stanford University",5408,"Darwin","difficilisDarwin","G. septentrionalis","septentrionalisDarwin","Male",70,46,15,8.5,7,22
"G. difficilis","Stanford University",5412,"Darwin","difficilisDarwin","G. septentrionalis","septentrionalisDarwin","Male",73,50,17,9.2,8,23
"G. difficilis","CAS",6947,"Wolf","difficilisWolf","G. septentrionalis","septentrionalisWolf","Male",68,45.5,14,7.5,7,22
"G. difficilis","CAS",6948,"Wolf","difficilisWolf","G. septentrionalis","septentrionalisWolf","Male",74,48,13.2,8.8,7,23
"G. difficilis","CAS",6949,"Wolf","difficilisWolf","G. septentrionalis","septentrionalisWolf","Male",71.5,47.5,14,8,6.8,23
"G. difficilis","CAS",6950,"Wolf","difficilisWolf","G. septentrionalis","septentrionalisWolf","Male",72,47,14,7.5,7,22
"G. difficilis","CAS",6951,"Wolf","difficilisWolf","G. septentrionalis","septentrionalisWolf","Male",72,45.5,13.5,8,6.5,21.2
"G. difficilis","CAS",6952,"Wolf","difficilisWolf","G. septentrionalis","septentrionalisWolf","Male",71.2,48,13.5,7.5,7,21.5
"G. difficilis","Stanford University",3857,"Wolf","difficilisWolf","G. septentrionalis","septentrionalisWolf","Male",70,44.5,15,8.5,7.2,22.5
"G. difficilis","Stanford University",3863,"Wolf","difficilisWolf","G. septentrionalis","septentrionalisWolf","Male",72,44.5,15,8,7,22
"G. difficilis","Stanford University",3864,"Wolf","difficilisWolf","G. septentrionalis","septentrionalisWolf","Male",71,44,14.2,8.5,7.2,22.2
"G. difficilis","Stanford University",3873,"Wolf","difficilisWolf","G. septentrionalis","septentrionalisWolf","Male",69.5,43.5,14.5,8,6.8,22
"G. difficilis","Stanford University",5254,"Pinta","difficilisPinta","G. difficilis","difficilisPinta","Male",62.2,39.2,14.5,8,6,20.5
"G. difficilis","Stanford University",5192,"Pinta","difficilisPinta","G. difficilis","difficilisPinta","Male",60.5,35,14.5,8.2,6.5,21
"G. difficilis","Stanford University",5216,"Pinta","difficilisPinta","G. difficilis","difficilisPinta","Male",60.5,38,14.5,8.5,7,20.5
"G. difficilis","Stanford University",5246,"Pinta","difficilisPinta","G. difficilis","difficilisPinta","Male",61,38,14.5,8,6.5,21
"G. difficilis","Stanford University",5095,"Pinta","difficilisPinta","G. difficilis","difficilisPinta","Male",60.5,37.5,14.2,8.2,7,21.2
"G. difficilis","CAS",5943,"Genovesa","difficilisGenovesa","G. acutirostris","acutirostrisGenovesa","Male",61,36,12.5,8,6,18.8
"G. difficilis","CAS",5944,"Genovesa","difficilisGenovesa","G. acutirostris","acutirostrisGenovesa","Male",64,40,12.5,8,6.5,19.2
"G. difficilis","CAS",5945,"Genovesa","difficilisGenovesa","G. acutirostris","acutirostrisGenovesa","Male",65,41.2,12.5,8,6.2,19
"G. difficilis","CAS",5951,"Genovesa","difficilisGenovesa","G. acutirostris","acutirostrisGenovesa","Male",65,40,12.8,7.5,6.5,19.2
"G. difficilis","CAS",5947,"Genovesa","difficilisGenovesa","G. acutirostris","acutirostrisGenovesa","Male",61.5,40,12,7.2,6.2,18.2
"G. difficilis","CAS",5948,"Genovesa","difficilisGenovesa","G. acutirostris","acutirostrisGenovesa","Male",61,38.5,12.8,8,6.8,18.5
"G. difficilis","CAS",5950,"Genovesa","difficilisGenovesa","G. acutirostris","acutirostrisGenovesa","Male",62,39,12.2,8,6.8,19.2
"G. difficilis","CAS",5942,"Genovesa","difficilisGenovesa","G. acutirostris","acutirostrisGenovesa","Male",61.5,36.5,11.5,7.8,6.2,18.8
"G. difficilis","CAS",5946,"Genovesa","difficilisGenovesa","G. acutirostris","acutirostrisGenovesa","Male",61.2,39.5,12.2,7.5,6.2,20
"G. difficilis","CAS",5949,"Genovesa","difficilisGenovesa","G. acutirostris","acutirostrisGenovesa","Male",61.2,37,12.8,8,6.2,19
"G. difficilis","CAS",6888,"Santiago","difficilisSantiago","G. difficilis","difficilisSantiago","Male",71.2,40.2,15.2,9.5,8,23.2
"G. difficilis","CAS",6889,"Santiago","difficilisSantiago","G. difficilis","difficilisSantiago","Male",70.5,41.5,14.5,10.2,7.5,23
"G. difficilis","CAS",6890,"Santiago","difficilisSantiago","G. difficilis","difficilisSantiago","Male",72.5,45,15,9.5,8,24
"G. difficilis","CAS",6902,"Santiago","difficilisSantiago","G. difficilis","difficilisSantiago","Male",72.5,40.5,14.5,9,7.8,23.2
"G. difficilis","CAS",6903,"Santiago","difficilisSantiago","G. difficilis","difficilisSantiago","Male",71.5,45,15,9.5,7.8,23
"G. difficilis","CAS",6906,"Santiago","difficilisSantiago","G. difficilis","difficilisSantiago","Male",68.5,40.5,14,9,7.5,24
"G. difficilis","CAS",6909,"Santiago","difficilisSantiago","G. difficilis","difficilisSantiago","Male",68.5,39.5,15.8,9.5,7.2,24
"G. difficilis","CAS",6910,"Santiago","difficilisSantiago","G. difficilis","difficilisSantiago","Male",69,40,15,9.5,7.8,26
"G. difficilis","CAS",6911,"Santiago","difficilisSantiago","G. difficilis","difficilisSantiago","Male",68.2,40.5,14.2,8.5,7.5,24
"G. difficilis","CAS",6913,"Santiago","difficilisSantiago","G. difficilis","difficilisSantiago","Male",70.2,39.5,15.2,9.5,8,24.2
"G. difficilis","CAS",6876,"Santa Cruz","difficilisSanta Cruz","G. difficilis","difficilisSanta Cruz","Male",66.5,40,13.8,8.2,7.2,21.8
"G. difficilis","CAS",6878,"Santa Cruz","difficilisSanta Cruz","G. difficilis","difficilisSanta Cruz","Male",69,41.5,14.2,8.5,7.2,20.5
"G. difficilis","CAS",6879,"Santa Cruz","difficilisSanta Cruz","G. difficilis","difficilisSanta Cruz","Male",67.5,39.5,15,9.2,7.2,22
"G. difficilis","CAS",6880,"Santa Cruz","difficilisSanta Cruz","G. difficilis","difficilisSanta Cruz","Male",68,39,14,8.2,7.2,23.5
"G. difficilis","CAS",6872,"Santa Cruz","difficilisSanta Cruz","G. difficilis","difficilisSanta Cruz","Male",68,44.5,14,8.5,7.2,22.5
"G. difficilis","CAS",6874,"Santa Cruz","difficilisSanta Cruz","G. difficilis","difficilisSanta Cruz","Male",68.2,40.5,14.2,9,7.5,22.5
"G. difficilis","CAS",6875,"Santa Cruz","difficilisSanta Cruz","G. difficilis","difficilisSanta Cruz","Male",69,44.2,14.5,8.5,7,21.5
"G. difficilis","CAS",6881,"Santa Cruz","difficilisSanta Cruz","G. difficilis","difficilisSanta Cruz","Male",67,41,14.5,9.2,7.5,23
"G. difficilis","CAS",6917,"Santa Cruz","difficilisSanta Cruz","G. difficilis","difficilisSanta Cruz","Male",67.2,41,14.5,8.2,7.2,22
"G. difficilis","CAS",6918,"Santa Cruz","difficilisSanta Cruz","G. difficilis","difficilisSanta Cruz","Male",66,41.5,14.2,8,7,22
"G. scandens","CAS",7226,"Marchena","scandensMarchena","G. scandens","scandensMarchena","Male",69.5,42.5,20,10.5,8.8,22.5
"G. scandens","CAS",7227,"Marchena","scandensMarchena","G. scandens","scandensMarchena","Male",73,43.5,18.5,9.8,8.2,22
"G. scandens","CAS",7228,"Marchena","scandensMarchena","G. scandens","scandensMarchena","Male",71.2,44,18,9.5,7.5,22
"G. scandens","CAS",7229,"Marchena","scandensMarchena","G. scandens","scandensMarchena","Male",75,44,21,11.5,9.5,23.5
"G. scandens","Stanford University",5237,"Marchena","scandensMarchena","G. scandens","scandensMarchena","Male",69,43.5,18,10.5,8,21
"G. scandens","Stanford University",5145,"Marchena","scandensMarchena","G. scandens","scandensMarchena","Male",67.5,41,21,10,7.5,21.5
"G. scandens","Stanford University",5146,"Marchena","scandensMarchena","G. scandens","scandensMarchena","Male",71.2,43,20.2,11,9,21
"G. scandens","Stanford University",5122,"Marchena","scandensMarchena","G. scandens","scandensMarchena","Male",69,43.5,18,10,8,21.5
"G. scandens","CAS",7223,"Pinta","scandensPinta","G. scandens","scandensPinta","Male",71,47.2,18.5,10,8.5,22.5
"G. scandens","CAS",7222,"Pinta","scandensPinta","G. scandens","scandensPinta","Male",73,48,19.8,9.5,8.5,22
"G. scandens","CAS",7224,"Pinta","scandensPinta","G. scandens","scandensPinta","Male",69,43,18.5,10,8.2,22.2
"G. scandens","CAS",7225,"Pinta","scandensPinta","G. scandens","scandensPinta","Male",70.5,45,18.5,9,8,21
"G. scandens","CAS",7221,"Pinta","scandensPinta","G. scandens","scandensPinta","Male",71,46,18,9,7.2,22
"G. scandens","CAS",7206,"Isabela","scandensIsabela","G. scandens","scandensIsabela","Male",72,43.5,17.5,9.2,7.5,21.2
"G. scandens","CAS",7207,"Isabela","scandensIsabela","G. scandens","scandensIsabela","Male",73.5,42,19.2,9.5,8,23
"G. scandens","CAS",7210,"Isabela","scandensIsabela","G. scandens","scandensIsabela","Male",71.5,43.2,18,9,8,22.2
"G. scandens","CAS",7211,"Isabela","scandensIsabela","G. scandens","scandensIsabela","Male",68.5,44,18.5,9,8,23
"G. scandens","CAS",7213,"Isabela","scandensIsabela","G. scandens","scandensIsabela","Male",70.2,42.2,19.5,10,8.2,22
"G. scandens","CAS",7208,"Isabela","scandensIsabela","G. scandens","scandensIsabela","Male",72.5,41.2,19.8,10,7.8,23
"G. scandens","CAS",7212,"Isabela","scandensIsabela","G. scandens","scandensIsabela","Male",71.5,42.5,18,9,8,22.2
"G. scandens","CAS",7205,"Isabela","scandensIsabela","G. scandens","scandensIsabela","Male",74,40,19.8,9.8,8.5,23.2
"G. scandens","CAS",7209,"Isabela","scandensIsabela","G. scandens","scandensIsabela","Male",71,43.8,17.5,9,7.5,22.2
"G. scandens","Stanford University",5098,"Isabela","scandensIsabela","G. scandens","scandensIsabela","Male",70,43.2,17.5,9,8,21.5
"G. scandens","CAS",7018,"Santiago","scandensSantiago","G. scandens","scandensSantiago","Male",70.5,43.5,17.2,8.8,7.5,21.5
"G. scandens","CAS",7290,"Santiago","scandensSantiago","G. scandens","scandensSantiago","Male",69.5,42,16.5,8,7,20.5
