Taxon,Institution,Museum No.,Island,Taxon-Island,New_Taxonomy,New_Taxonomy_Island,Sex,Wing,Tail,Blength,Gonys,Bdepth,Bwidth,Tarsus,MiddleToe
fuliginosa,CAS,6821,Santa Fe,fuliginosaSanta Fe,fuliginosa,fuliginosaSanta Fe,Male,61.2,38,10.5,6,7,6,21,16.5
fuliginosa,CAS,5618,Santa Fe,fuliginosaSanta Fe,fuliginosa,fuliginosaSanta Fe,Male,64,39.2,13,7,8.2,6.8,18.5,15.8
fuliginosa,CAS,5645,Santa Fe,fuliginosaSanta Fe,fuliginosa,fuliginosaSanta Fe,Male,63,38.8,11.5,7,8,6.5,19.8,17
fuliginosa,CAS,5633,Santa Fe,fuliginosaSanta Fe,fuliginosa,fuliginosaSanta Fe,Male,61.5,39.2,12.2,7,8.2,7,20,16
fuliginosa,CAS,5617,Santa Fe,fuliginosaSanta Fe,fuliginosa,fuliginosaSanta Fe,Male,62.2,38,12,6.5,7.5,6.5,19.2,16
fuliginosa,CAS,5622,Santa Fe,fuliginosaSanta Fe,fuliginosa,fuliginosaSanta Fe,Male,60.5,38,12,6.8,8.2,6.5,19.5,16.8
fuliginosa,CAS,5619,Santa Fe,fuliginosaSanta Fe,fuliginosa,fuliginosaSanta Fe,Male,60.2,37,12,7,8,6.5,18.5,16.5
fuliginosa,CAS,5611,Santa Fe,fuliginosaSanta Fe,fuliginosa,fuliginosaSanta Fe,Male,64.5,39.8,12.2,7,8.2,6.5,19,17
fuliginosa,CAS,5726,Santa Fe,fuliginosaSanta Fe,fuliginosa,fuliginosaSanta Fe,Male,62,38,12,7,8.2,6.5,20,16.5
fuliginosa,CAS,5874,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,65,40.5,13.2,7.5,8,6.5,19,17.5
fuliginosa,CAS,5887,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,63.5,40,12.5,7,8.2,6.5,20.2,17.5
fuliginosa,CAS,5894,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,63.2,39,12,7,7.5,6.5,20,16.5
fuliginosa,CAS,5896,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,65,41,12.5,7.2,8.5,7,20,17
fuliginosa,CAS,5870,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,63.2,38.5,11.5,7,8,7,20.2,17.5
fuliginosa,CAS,5428,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,63.2,42,13,7.2,9,7.2,20.2,17.5
fuliginosa,CAS,5866,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,64,41,12,7,8.2,6.5,20.2,18
fuliginosa,CAS,5868,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,63,39,12,7,8.5,7,20,17
fuliginosa,CAS,5882,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,62.5,36.5,11.5,7.2,7.5,6.5,19.5,16.5
fuliginosa,CAS,5897,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,61,39,10.8,7,7,6.5,20.2,16
fuliginosa,CAS,6854,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,61,37,10.5,6,7.2,6,19,16
fuliginosa,CAS,5895,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,63,37,10,6,7,5.5,20,15
fuliginosa,CAS,5869,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,60,38,11.2,6.2,7.2,6.2,19,15.5
fuliginosa,CAS,5891,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,63.5,36.5,10.8,6,7.2,6,20,16
fuliginosa,CAS,6852,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,61.5,36.8,10.5,6,7.2,5.8,18,15.2
fuliginosa,CAS,5901,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,60.5,37,10.5,6,7.5,6,20.5,15
fuliginosa,CAS,5908,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,60.2,37,10,6,7,6,20,16
fuliginosa,CAS,5905,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,62.2,38,10.5,5.8,7,6,19,16
fuliginosa,CAS,5915,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,62,36.5,10.2,6,7,5.5,19.2,15.2
fuliginosa,CAS,5922,San Cristobal,fuliginosaSan Cristobal,fuliginosa,fuliginosaSan Cristobal,Male,57,34,10.5,6.2,7,6,18,16
fuliginosa,CAS,5689,Floreana,fuliginosaFloreana,fuliginosa,fuliginosaFloreana,Male,65,42.2,10.8,7,8.5,7,20,16
fuliginosa,CAS,5634,Floreana,fuliginosaFloreana,fuliginosa,fuliginosaFloreana,Male,63.5,41,11.2,6.5,8,7,19.5,17.2
fuliginosa,CAS,5754,Floreana,fuliginosaFloreana,fuliginosa,fuliginosaFloreana,Male,60.5,38,10,6.2,7.5,6.2,19.5,16.2
fuliginosa,CAS,5639,Floreana,fuliginosaFloreana,fuliginosa,fuliginosaFloreana,Male,61.2,37.5,11,6.5,7.2,6,19,17.5
fuliginosa,CAS,5640,Floreana,fuliginosaFloreana,fuliginosa,fuliginosaFloreana,Male,61.5,39.2,12.2,6.5,8,6.5,20,17.5
fuliginosa,CAS,5708,Floreana,fuliginosaFloreana,fuliginosa,fuliginosaFloreana,Male,61,40,11.5,7,7.5,6.5,20,17.5
fuliginosa,CAS,5779,Floreana,fuliginosaFloreana,fuliginosa,fuliginosaFloreana,Male,60.5,41,12,7,7.8,6.5,20,16
fuliginosa,CAS,5697,Floreana,fuliginosaFloreana,fuliginosa,fuliginosaFloreana,Male,63,37.8,11,6.8,8,6.5,20,17.5
fuliginosa,CAS,5661,Floreana,fuliginosaFloreana,fuliginosa,fuliginosaFloreana,Male,61,38.5,10.5,6.5,7.2,6,20,17.5
fuliginosa,CAS,5729,Floreana,fuliginosaFloreana,fuliginosa,fuliginosaFloreana,Male,65,39,12.2,7,8,6.8,20,16.5
fuliginosa,CAS,5690,Espanola,fuliginosaEspanola,fuliginosa,fuliginosaEspanola,Male,64,41,11.5,7,7.5,6.5,20.2,17.2
fuliginosa,CAS,5696,Espanola,fuliginosaEspanola,fuliginosa,fuliginosaEspanola,Male,62.2,39,12,7.2,7.5,6.8,21,17.2
fuliginosa,CAS,5704,Espanola,fuliginosaEspanola,fuliginosa,fuliginosaEspanola,Male,64,39.5,12,7,7.5,7,19.8,16
fuliginosa,CAS,5637,Espanola,fuliginosaEspanola,fuliginosa,fuliginosaEspanola,Male,63.5,40,11.5,6.5,7.5,6.5,19.2,16
fuliginosa,CAS,5659,Espanola,fuliginosaEspanola,fuliginosa,fuliginosaEspanola,Male,63.2,39.5,12,6.5,7.2,6.5,18.5,16.2
fuliginosa,CAS,5681,Espanola,fuliginosaEspanola,fuliginosa,fuliginosaEspanola,Male,63,38.8,12,6.5,8,6.5,20,17.8
fuliginosa,CAS,5712,Espanola,fuliginosaEspanola,fuliginosa,fuliginosaEspanola,Male,65,41,12,7.2,8,6.5,20.5,17
fuliginosa,CAS,5612,Espanola,fuliginosaEspanola,fuliginosa,fuliginosaEspanola,Male,63.2,38.8,12.5,7,8.5,6.5,20,17
fuliginosa,CAS,5613,Espanola,fuliginosaEspanola,fuliginosa,fuliginosaEspanola,Male,63,40.5,12,7,8,6.5,20,17
fuliginosa,CAS,5638,Espanola,fuliginosaEspanola,fuliginosa,fuliginosaEspanola,Male,63.5,41,11.5,7.2,7.2,6.5,20,16.2
difficilis,CAS,6981,Darwin,difficilisDarwin,septentrionalis,septentrionalisDarwin,Male,71.5,49,15.5,8,9,7.8,22,18.5
difficilis,CAS,6982,Darwin,difficilisDarwin,septentrionalis,septentrionalisDarwin,Male,72,47,16,9,9,7.2,23.2,20
difficilis,CAS,6983,Darwin,difficilisDarwin,septentrionalis,septentrionalisDarwin,Male,71.2,47,14.5,8.8,8.2,6.8,23,20
difficilis,CAS,6984,Darwin,difficilisDarwin,septentrionalis,septentrionalisDarwin,Male,72,48,16.2,9.2,9.2,8,23,20.5
difficilis,CAS,6985,Darwin,difficilisDarwin,septentrionalis,septentrionalisDarwin,Male,72,48,16,9,8.8,7.2,23,20
difficilis,CAS,6986,Darwin,difficilisDarwin,septentrionalis,septentrionalisDarwin,Male,72,48,16.2,9.5,9,7.8,23.2,20.5
difficilis,CAS,6992,Darwin,difficilisDarwin,septentrionalis,septentrionalisDarwin,Male,73,49,15,9,9,7.5,23.5,20
difficilis,Stanford University,5406,Darwin,difficilisDarwin,septentrionalis,septentrionalisDarwin,Male,72,47,15,8.2,9,7.2,23,18
difficilis,Stanford University,5408,Darwin,difficilisDarwin,septentrionalis,septentrionalisDarwin,Male,70,46,15,8.8,8.5,7,22,20.5
difficilis,Stanford University,5412,Darwin,difficilisDarwin,septentrionalis,septentrionalisDarwin,Male,73,50,17,9.2,9.2,8,23,20.2
difficilis,CAS,6947,Wolf,difficilisWolf,septentrionalis,septentrionalisWolf,Male,68,45.5,14,8.2,7.5,7,22,18.2
difficilis,CAS,6948,Wolf,difficilisWolf,septentrionalis,septentrionalisWolf,Male,74,48,13.2,8.5,8.8,7,23,19
difficilis,CAS,6949,Wolf,difficilisWolf,septentrionalis,septentrionalisWolf,Male,71.5,47.5,14,8,8,6.8,23,20.5
difficilis,CAS,6950,Wolf,difficilisWolf,septentrionalis,septentrionalisWolf,Male,72,47,14,8.5,7.5,7,22,18.5
difficilis,CAS,6951,Wolf,difficilisWolf,septentrionalis,septentrionalisWolf,Male,72,45.5,13.5,8.2,8,6.5,21.2,19
difficilis,CAS,6952,Wolf,difficilisWolf,septentrionalis,septentrionalisWolf,Male,71.2,48,13.5,8.2,7.5,7,21.5,18
difficilis,Stanford University,3857,Wolf,difficilisWolf,septentrionalis,septentrionalisWolf,Male,70,44.5,15,8.8,8.5,7.2,22.5,20
difficilis,Stanford University,3863,Wolf,difficilisWolf,septentrionalis,septentrionalisWolf,Male,72,44.5,15,9.5,8,7,22,20
difficilis,Stanford University,3864,Wolf,difficilisWolf,septentrionalis,septentrionalisWolf,Male,71,44,14.2,8.5,8.5,7.2,22.2,18
difficilis,Stanford University,3873,Wolf,difficilisWolf,septentrionalis,septentrionalisWolf,Male,69.5,43.5,14.5,8.5,8,6.8,22,19
difficilis,Stanford University,5254,Pinta,difficilisPinta,difficilis,difficilisPinta,Male,62.2,39.2,14.5,8.5,8,6,20.5,18.5
difficilis,Stanford University,5192,Pinta,difficilisPinta,difficilis,difficilisPinta,Male,60.5,35,14.5,8,8.2,6.5,21,19
difficilis,Stanford University,5279,Pinta,difficilisPinta,difficilis,difficilisPinta,Male,62.2,,13.8,7.5,8.5,6.8,21,19
difficilis,Stanford University,5216,Pinta,difficilisPinta,difficilis,difficilisPinta,Male,60.5,38,14.5,7.5,8.5,7,20.5,19
difficilis,Stanford University,5246,Pinta,difficilisPinta,difficilis,difficilisPinta,Male,61,38,14.5,7.5,8,6.5,21,19.5
difficilis,Stanford University,5095,Pinta,difficilisPinta,difficilis,difficilisPinta,Male,60.5,37.5,14.2,7.5,8.2,7,21.2,19
difficilis,CAS,5943,Genovesa,difficilisGenovesa,acutirostris,acutirostrisGenovesa,Male,61,36,12.5,7,8,6,18.8,16
difficilis,CAS,5944,Genovesa,difficilisGenovesa,acutirostris,acutirostrisGenovesa,Male,64,40,12.5,7.2,8,6.5,19.2,16.2
difficilis,CAS,5945,Genovesa,difficilisGenovesa,acutirostris,acutirostrisGenovesa,Male,65,41.2,12.5,7,8,6.2,19,16.2
difficilis,CAS,5951,Genovesa,difficilisGenovesa,acutirostris,acutirostrisGenovesa,Male,65,40,12.8,7.2,7.5,6.5,19.2,17
difficilis,CAS,5947,Genovesa,difficilisGenovesa,acutirostris,acutirostrisGenovesa,Male,61.5,40,12,7,7.2,6.2,18.2,15
difficilis,CAS,5948,Genovesa,difficilisGenovesa,acutirostris,acutirostrisGenovesa,Male,61,38.5,12.8,7.8,8,6.8,18.5,16.5
difficilis,CAS,5950,Genovesa,difficilisGenovesa,acutirostris,acutirostrisGenovesa,Male,62,39,12.2,7.5,8,6.8,19.2,16
difficilis,CAS,5942,Genovesa,difficilisGenovesa,acutirostris,acutirostrisGenovesa,Male,61.5,36.5,11.5,7,7.8,6.2,18.8,16.5
difficilis,CAS,5946,Genovesa,difficilisGenovesa,acutirostris,acutirostrisGenovesa,Male,61.2,39.5,12.2,7,7.5,6.2,20,16
difficilis,CAS,5949,Genovesa,difficilisGenovesa,acutirostris,acutirostrisGenovesa,Male,61.2,37,12.8,7,8,6.2,19,16
difficilis,CAS,6888,Santiago,difficilisSantiago,difficilis,difficilisSantiago,Male,71.2,40.2,15.2,8,9.5,8,23.2,19
difficilis,CAS,6889,Santiago,difficilisSantiago,difficilis,difficilisSantiago,Male,70.5,41.5,14.5,8.2,10.2,7.5,23,20.8
difficilis,CAS,6890,Santiago,difficilisSantiago,difficilis,difficilisSantiago,Male,72.5,45,15,8,9.5,8,24,21.2
difficilis,CAS,6902,Santiago,difficilisSantiago,difficilis,difficilisSantiago,Male,72.5,40.5,14.5,7.5,9,7.8,23.2,20
difficilis,CAS,6903,Santiago,difficilisSantiago,difficilis,difficilisSantiago,Male,71.5,45,15,8,9.5,7.8,23,20
difficilis,CAS,6906,Santiago,difficilisSantiago,difficilis,difficilisSantiago,Male,68.5,40.5,14,7.2,9,7.5,24,21.2
difficilis,CAS,6909,Santiago,difficilisSantiago,difficilis,difficilisSantiago,Male,68.5,39.5,15.8,8.5,9.5,7.2,24,21
difficilis,CAS,6910,Santiago,difficilisSantiago,difficilis,difficilisSantiago,Male,69,40,15,8,9.5,7.8,26,22.2
difficilis,CAS,6911,Santiago,difficilisSantiago,difficilis,difficilisSantiago,Male,68.2,40.5,14.2,7.8,8.5,7.5,24,20.2
difficilis,CAS,6913,Santiago,difficilisSantiago,difficilis,difficilisSantiago,Male,70.2,39.5,15.2,8.2,9.5,8,24.2,21.5
difficilis,CAS,6876,Santa Cruz,difficilisSanta Cruz,difficilis,difficilisSanta Cruz,Male,66.5,40,13.8,8,8.2,7.2,21.8,20
difficilis,CAS,6878,Santa Cruz,difficilisSanta Cruz,difficilis,difficilisSanta Cruz,Male,69,41.5,14.2,7.5,8.5,7.2,20.5,19.8
difficilis,CAS,6879,Santa Cruz,difficilisSanta Cruz,difficilis,difficilisSanta Cruz,Male,67.5,39.5,15,7.5,9.2,7.2,22,19
difficilis,CAS,6880,Santa Cruz,difficilisSanta Cruz,difficilis,difficilisSanta Cruz,Male,68,39,14,7.5,8.2,7.2,23.5,18
difficilis,CAS,6872,Santa Cruz,difficilisSanta Cruz,difficilis,difficilisSanta Cruz,Male,68,44.5,14,7.5,8.5,7.2,22.5,19.5
difficilis,CAS,6874,Santa Cruz,difficilisSanta Cruz,difficilis,difficilisSanta Cruz,Male,68.2,40.5,14.2,7,9,7.5,22.5,20
difficilis,CAS,6875,Santa Cruz,difficilisSanta Cruz,difficilis,difficilisSanta Cruz,Male,69,44.2,14.5,7,8.5,7,21.5,19
difficilis,CAS,6881,Santa Cruz,difficilisSanta Cruz,difficilis,difficilisSanta Cruz,Male,67,41,14.5,7.5,9.2,7.5,23,19
difficilis,CAS,6917,Santa Cruz,difficilisSanta Cruz,difficilis,difficilisSanta Cruz,Male,67.2,41,14.5,7.5,8.2,7.2,22,20
difficilis,CAS,6918,Santa Cruz,difficilisSanta Cruz,difficilis,difficilisSanta Cruz,Male,66,41.5,14.2,7.5,8,7,22,19.2
scandens,CAS,7226,Marchena,scandensMarchena,scandens,scandensMarchena,Male,69.5,42.5,20,11.5,10.5,8.8,22.5,19.5
scandens,CAS,7227,Marchena,scandensMarchena,scandens,scandensMarchena,Male,73,43.5,18.5,11.5,9.8,8.2,22,19
scandens,CAS,7228,Marchena,scandensMarchena,scandens,scandensMarchena,Male,71.2,44,18,11,9.5,7.5,22,19
scandens,CAS,7229,Marchena,scandensMarchena,scandens,scandensMarchena,Male,75,44,21,12,11.5,9.5,23.5,21
scandens,Stanford University,5237,Marchena,scandensMarchena,scandens,scandensMarchena,Male,69,43.5,18,11.2,10.5,8,21,18
scandens,Stanford University,5145,Marchena,scandensMarchena,scandens,scandensMarchena,Male,67.5,41,21,12,10,7.5,21.5,19.2
scandens,Stanford University,5146,Marchena,scandensMarchena,scandens,scandensMarchena,Male,71.2,43,20.2,11.5,11,9,21,19.8
scandens,Stanford University,5122,Marchena,scandensMarchena,scandens,scandensMarchena,Male,69,43.5,18,11,10,8,21.5,19.2
scandens,CAS,7223,Pinta,scandensPinta,scandens,scandensPinta,Male,71,47.2,18.5,11,10,8.5,22.5,20
scandens,CAS,7222,Pinta,scandensPinta,scandens,scandensPinta,Male,73,48,19.8,11.2,9.5,8.5,22,20
scandens,CAS,7224,Pinta,scandensPinta,scandens,scandensPinta,Male,69,43,18.5,11,10,8.2,22.2,19.5
scandens,CAS,7225,Pinta,scandensPinta,scandens,scandensPinta,Male,70.5,45,18.5,10.5,9,8,21,19.5
scandens,CAS,7221,Pinta,scandensPinta,scandens,scandensPinta,Male,71,46,18,11,9,7.2,22,19.5
scandens,CAS,7206,Isabela,scandensIsabela,scandens,scandensIsabela,Male,72,43.5,17.5,10.8,9.2,7.5,21.2,19.5
scandens,CAS,7207,Isabela,scandensIsabela,scandens,scandensIsabela,Male,73.5,42,19.2,11.2,9.5,8,23,20.2
scandens,CAS,7210,Isabela,scandensIsabela,scandens,scandensIsabela,Male,71.5,43.2,18,10.5,9,8,22.2,20
scandens,CAS,7211,Isabela,scandensIsabela,scandens,scandensIsabela,Male,68.5,44,18.5,12,9,8,23,19.5
scandens,CAS,7213,Isabela,scandensIsabela,scandens,scandensIsabela,Male,70.2,42.2,19.5,12,10,8.2,22,18.5
scandens,CAS,7208,Isabela,scandensIsabela,scandens,scandensIsabela,Male,72.5,41.2,19.8,11.5,10,7.8,23,20.5
scandens,CAS,7212,Isabela,scandensIsabela,scandens,scandensIsabela,Male,71.5,42.5,18,10.8,9,8,22.2,19
scandens,CAS,7205,Isabela,scandensIsabela,scandens,scandensIsabela,Male,74,40,19.8,12,9.8,8.5,23.2,21
scandens,CAS,7209,Isabela,scandensIsabela,scandens,scandensIsabela,Male,71,43.8,17.5,10.8,9,7.5,22.2,20.8
scandens,Stanford University,5098,Isabela,scandensIsabela,scandens,scandensIsabela,Male,70,43.2,17.5,10.5,9,8,21.5,20.2
scandens,CAS,7018,Santiago,scandensSantiago,scandens,scandensSantiago,Male,70.5,43.5,17.2,10.5,8.8,7.5,21.5,19.5
scandens,CAS,7290,Santiago,scandensSantiago,scandens,scandensSantiago,Male,69.5,42,16.5,10,8,7,20.5,20
scandens,Stanford University,4518,Santiago,scandensSantiago,scandens,scandensSantiago,Male,68.5,41.5,16,10,9,7.2,20.2,19
scandens,Stanford University,4592,Santiago,scandensSantiago,scandens,scandensSantiago,Male,70.2,43,17.5,10.2,8.2,7.5,21,18.5
scandens,Stanford University,4543,Santiago,scandensSantiago,scandens,scandensSantiago,Male,69,41.2,17.2,10.5,8,7,20.5,18
scandens,Stanford University,4594,Santiago,scandensSantiago,scandens,scandensSantiago,Male,71,43,17,10.5,9,7.5,22,19
scandens,Stanford University,4595,Santiago,scandensSantiago,scandens,scandensSantiago,Male,67.5,40,17.2,10,8.5,7.2,20.2,19.2
scandens,Stanford University,4596,Santiago,scandensSantiago,scandens,scandensSantiago,Male,68,41.2,17,10.2,9,7.2,22.2,18
scandens,Stanford University,4597,Santiago,scandensSantiago,scandens,scandensSantiago,Male,68,42,17.8,10.5,9,8,22.5,19.2
scandens,CAS,7200,Pinzon,scandensPinzon,scandens,scandensPinzon,Male,70,43,18.5,12,9,7.2,21.5,19.2
scandens,CAS,7201,Pinzon,scandensPinzon,scandens,scandensPinzon,Male,70,41,19.5,10.5,9.5,8,21.2,21
scandens,CAS,7202,Pinzon,scandensPinzon,scandens,scandensPinzon,Male,70.2,43,18.2,10.5,9.5,7.5,22.2,19.2
scandens,CAS,7203,Pinzon,scandensPinzon,scandens,scandensPinzon,Male,70,42,19.5,11,10,8,23,21
scandens,CAS,7204,Pinzon,scandensPinzon,scandens,scandensPinzon,Male,69,40.5,18.2,10.5,9.5,8,22.8,19.5
scandens,CAS,7153,Santa Cruz,scandensSanta Cruz,scandens,scandensSanta Cruz,Male,72.5,43.2,21,12.5,10,7.5,22.5,19
scandens,CAS,7147,Santa Cruz,scandensSanta Cruz,scandens,scandensSanta Cruz,Male,71,42,19.8,12.2,9,8,22.5,19
scandens,CAS,7146,Santa Cruz,scandensSanta Cruz,scandens,scandensSanta Cruz,Male,73,43,20.2,12,10,8,23,19.2
scandens,CAS,7148,Santa Cruz,scandensSanta Cruz,scandens,scandensSanta Cruz,Male,70,43,19.5,11.8,9.2,8,23,20
scandens,CAS,7151,Santa Cruz,scandensSanta Cruz,scandens,scandensSanta Cruz,Male,72,42.8,21,12,10,8.2,22.5,20
scandens,CAS,7251,Santa Cruz,scandensSanta Cruz,scandens,scandensSanta Cruz,Male,70,43.2,20.5,11.5,10,8.2,22,20.5
scandens,CAS,7162,Santa Cruz,scandensSanta Cruz,scandens,scandensSanta Cruz,Male,70.5,41.5,19.8,11,9.2,8,22,20
scandens,CAS,7149,Santa Cruz,scandensSanta Cruz,scandens,scandensSanta Cruz,Male,72.5,43.5,20.2,12.5,10,8.2,22.5,20
scandens,CAS,7150,Santa Cruz,scandensSanta Cruz,scandens,scandensSanta Cruz,Male,70.5,44,19.5,10.5,9.5,7.8,22,19.8
scandens,CAS,7165,Santa Cruz,scandensSanta Cruz,scandens,scandensSanta Cruz,Male,70,41.5,20,12,9.5,8,21.5,21
scandens,CAS,7195,Rabida,scandensRabida,scandens,scandensRabida,Male,70.5,43.5,17.2,11,9,6.2,21,20
scandens,CAS,7196,Rabida,scandensRabida,scandens,scandensRabida,Male,71,42,19,11.5,9,8,21,19
scandens,CAS,7197,Rabida,scandensRabida,scandens,scandensRabida,Male,71,45,19.5,11.2,8.5,7.5,22,19.2
scandens,CAS,7198,Rabida,scandensRabida,scandens,scandensRabida,Male,72.2,43,16.5,10,8.5,7.2,21,19
scandens,CAS,7199,Rabida,scandensRabida,scandens,scandensRabida,Male,72.5,45,18,11,9,7.5,21,18.5
scandens,CAS,7124,Santa Fe,scandensSanta Fe,scandens,scandensSanta Fe,Male,68.2,39,17.5,11,9.8,8.2,22,19.5
scandens,CAS,7113,Santa Fe,scandensSanta Fe,scandens,scandensSanta Fe,Male,67.2,42.5,18,10.5,9,8,22.5,20
scandens,CAS,7114,Santa Fe,scandensSanta Fe,scandens,scandensSanta Fe,Male,73,44.2,20,11.2,10,8,23,22
scandens,CAS,7123,Santa Fe,scandensSanta Fe,scandens,scandensSanta Fe,Male,72,45.2,18.2,11,9.5,8,23.2,20
scandens,CAS,7125,Santa Fe,scandensSanta Fe,scandens,scandensSanta Fe,Male,69.8,43.1,17.2,10.5,9.8,7.5,22.2,20
scandens,CAS,7129,Santa Fe,scandensSanta Fe,scandens,scandensSanta Fe,Male,70,43.2,18,11,10.2,8.5,22,19.2
scandens,CAS,7116,Santa Fe,scandensSanta Fe,scandens,scandensSanta Fe,Male,67,43.5,18,11,9.8,8.5,22.5,21
scandens,CAS,7117,Santa Fe,scandensSanta Fe,scandens,scandensSanta Fe,Male,71.5,46.5,17,10.5,9,7.8,22.2,20
scandens,CAS,7118,Santa Fe,scandensSanta Fe,scandens,scandensSanta Fe,Male,69.5,43,18.5,11,10,8.2,22,21
scandens,CAS,7119,Santa Fe,scandensSanta Fe,scandens,scandensSanta Fe,Male,70,44.5,19.8,11.2,10,8.2,23.2,20.2
scandens,CAS,7039,Floreana,scandensFloreana,scandens,scandensFloreana,Male,69,43.5,17,10,8.5,7.5,22.5,20
scandens,CAS,7042,Floreana,scandensFloreana,scandens,scandensFloreana,Male,71.2,44.5,17,10.5,9.2,7.5,22,20
scandens,CAS,7026,Floreana,scandensFloreana,scandens,scandensFloreana,Male,70.5,41.5,18.2,11.2,9.2,7.5,22.5,20.5
scandens,CAS,7057,Floreana,scandensFloreana,scandens,scandensFloreana,Male,68.5,44,18,11.2,9,7.5,22,20.2
scandens,CAS,7020,Floreana,scandensFloreana,scandens,scandensFloreana,Male,72,44,18.2,11,9.2,8,23,21
scandens,CAS,7022,Floreana,scandensFloreana,scandens,scandensFloreana,Male,71.5,45.5,18.5,11.5,9.2,8,22,20
scandens,CAS,7041,Floreana,scandensFloreana,scandens,scandensFloreana,Male,66.8,41.5,17.2,11,9,7.5,21,19.5
scandens,CAS,7021,Floreana,scandensFloreana,scandens,scandensFloreana,Male,71.8,43.5,17.5,11,9.5,8,21.5,18.5
scandens,CAS,7038,Floreana,scandensFloreana,scandens,scandensFloreana,Male,68.5,45,18,10.5,9.2,7.5,22,21
scandens,CAS,7054,Floreana,scandensFloreana,scandens,scandensFloreana,Male,71.5,42,18,11,9.5,7.5,23,21
conirostris,CAS,4987,Genovesa,conirostrisGenovesa,propinqua,propinquaGenovesa,Male,77,48.5,19.5,11,12.2,9.5,23,20.2
conirostris,Stanford University,5005,Genovesa,conirostrisGenovesa,propinqua,propinquaGenovesa,Male,74,46,20.5,11.2,13.5,10,23,20.2
conirostris,Stanford University,5233,Genovesa,conirostrisGenovesa,propinqua,propinquaGenovesa,Male,72.5,46.5,18.2,10.5,12,9.5,23.5,21
conirostris,Stanford University,5109,Genovesa,conirostrisGenovesa,propinqua,propinquaGenovesa,Male,73,43,18,10.5,12.2,9.5,25,23
conirostris,Stanford University,5171,Genovesa,conirostrisGenovesa,propinqua,propinquaGenovesa,Male,73,46.8,20,11,13,10,25,20.5
conirostris,Stanford University,5129,Genovesa,conirostrisGenovesa,propinqua,propinquaGenovesa,Male,74.5,46.5,18.8,10,13.2,10,23,21.5
conirostris,Stanford University,5214,Genovesa,conirostrisGenovesa,propinqua,propinquaGenovesa,Male,77,48,20,11.2,13.8,10.5,24.5,21
conirostris,Stanford University,5281,Genovesa,conirostrisGenovesa,propinqua,propinquaGenovesa,Male,77,48.5,20.5,11.2,14,10.5,24.2,21.5
conirostris,CAS,4988,Genovesa,conirostrisGenovesa,propinqua,propinquaGenovesa,Male,73,43,20.5,11.2,12,9.5,25.5,22.2
conirostris,CAS,4992,Espanola,conirostrisEspanola,conirostris,conirostrisEspanola,Male,77.5,50,19,11.2,14.5,11,23.2,22.5
conirostris,CAS,5007,Espanola,conirostrisEspanola,conirostris,conirostrisEspanola,Male,83.5,47.5,23.5,12.8,18.5,13,24.2,23
conirostris,CAS,5010,Espanola,conirostrisEspanola,conirostris,conirostrisEspanola,Male,79,48.2,22.8,12.5,17.2,12.5,24,22.8
conirostris,CAS,5011,Espanola,conirostrisEspanola,conirostris,conirostrisEspanola,Male,80.8,51.8,22,12.5,18,13,24,23
conirostris,CAS,5016,Espanola,conirostrisEspanola,conirostris,conirostrisEspanola,Male,74,45.5,20.5,11.8,15.2,11.5,23.5,23
conirostris,CAS,5021,Espanola,conirostrisEspanola,conirostris,conirostrisEspanola,Male,77,44.5,21,11.2,15.2,11.8,23,23
conirostris,CAS,5024,Espanola,conirostrisEspanola,conirostris,conirostrisEspanola,Male,77.2,46,20,11.8,16,12.5,24,22.2
conirostris,CAS,5025,Espanola,conirostrisEspanola,conirostris,conirostrisEspanola,Male,79,50,21.5,12.5,17,13,24.2,24
